id,name,slug,small_logo_thumb_url,website,all_locations,long_description,one_liner,team_size,industry,subindustry,launched_at,tags/0,tags/1,top_company,isHiring,nonprofit,batch,status,industries/0,industries/1,regions/0,regions/1,stage,app_video_public,demo_day_video_public,app_answers,question_answers,objectID,_highlightResult/name/value,_highlightResult/name/matchLevel,_highlightResult/website/value,_highlightResult/website/matchLevel,_highlightResult/all_locations/value,_highlightResult/all_locations/matchLevel,_highlightResult/long_description/value,_highlightResult/long_description/matchLevel,_highlightResult/one_liner/value,_highlightResult/one_liner/matchLevel,_highlightResult/tags/0/value,_highlightResult/tags/0/matchLevel,_highlightResult/tags/1/value,_highlightResult/tags/1/matchLevel,former_names/0,_highlightResult/former_names/0/value,_highlightResult/former_names/0/matchLevel,tags/2,tags/3,regions/2,regions/3,_highlightResult/tags/2/value,_highlightResult/tags/2/matchLevel,_highlightResult/tags/3/value,_highlightResult/tags/3/matchLevel,tags/4,_highlightResult/tags/4/value,_highlightResult/tags/4/matchLevel,former_names/1,_highlightResult/former_names/1/value,_highlightResult/former_names/1/matchLevel,tags_highlighted/0,former_names/2,_highlightResult/former_names/2/value,_highlightResult/former_names/2/matchLevel
31004,Dome,dome,https://bookface-images.s3.amazonaws.com/small_logos/7dc9ddeb09c634cfdedc5563ec8d3c525a7e8189.png,https://domeapi.io,"New York, NY, USA","Dome makes it easy to build on prediction markets like Polymarket and Kalshi. We provide the developer infrastructure to access, analyze, and build on prediction markets. 

With our unified API, developers can access live and historical data, including granular datasets not available natively, across multiple platforms at once. Dome makes it simple to trade, embed market data into products, and deploy strategies across multiple platforms through one interface.
","A unified API for prediction markets, like Kalshi and Polymarket",2,B2B,B2B -> Infrastructure,1759389556,Developer Tools,Fintech,false,false,false,Fall 2025,Active,B2B,Infrastructure,United States of America,America / Canada,Early,false,false,,false,31004,Dome,none,https://domeapi.io,none,"New York, NY, USA",none,"Dome makes it easy to build on prediction markets like Polymarket and Kalshi. We provide the developer infrastructure to access, analyze, and build on prediction markets. 

With our unified API, developers can access live and historical data, including granular datasets not available natively, across multiple platforms at once. Dome makes it simple to trade, embed market data into products, and deploy strategies across multiple platforms through one interface.
",none,"A unified API for prediction markets, like Kalshi and Polymarket",none,Developer Tools,none,Fintech,none,,,,,,,,,,,,,,,,,,,,,
30978,Miniswap,miniswap,https://bookface-images.s3.amazonaws.com/small_logos/19d8cd9731e5b803cf28ada75d13c38049717b0e.png,https://miniswap.gg/,"San Francisco, CA, USA","Miniswap a marketplace for the $1B+ tabletop miniatures market, starting with Warhammer.

In hobbies as complex as Warhammer, finding minis on general marketplaces is a huge pain. Filters don't work, free-form listings mean that products are regularly misidentified, and piles of counterfeit junk crowd search results. 

Miniswap saves hobbyists from this chaos with its catalogue of more than 8000 data-enriched SKUs. Sellers match their listings against Miniswap's catalogue giving buyers more information and structure as they shop.

The global market for tabletop games is estimated to be worth $10B+ in 2025 and Warhammer alone is projected to grow to $3B by 2030. By capturing the market in this untapped niche, Miniswap is strongly positioned to expand its wedge into adjacent categories, bringing greater transparency, simplicity, and connectivity into additional tabletop games and collectibles verticals.

Miniswap's founding team merges deep domain knowledge with elite programming expertise and years of experience in business consulting and startups. Co-founders Zak and Will met while studying together at Cambridge, bonded over their love of Warhammer, and have been best friends ever since. ",The Marketplace for Tabletop Games,2,Consumer,Consumer -> Gaming,1760936665,Marketplace,,false,false,false,Fall 2025,Active,Consumer,Gaming,United States of America,America / Canada,Early,false,false,,false,30978,Miniswap,none,https://miniswap.gg/,none,"San Francisco, CA, USA",none,"Miniswap a marketplace for the $1B+ tabletop miniatures market, starting with Warhammer.

In hobbies as complex as Warhammer, finding minis on general marketplaces is a huge pain. Filters don't work, free-form listings mean that products are regularly misidentified, and piles of counterfeit junk crowd search results. 

Miniswap saves hobbyists from this chaos with its catalogue of more than 8000 data-enriched SKUs. Sellers match their listings against Miniswap's catalogue giving buyers more information and structure as they shop.

The global market for tabletop games is estimated to be worth $10B+ in 2025 and Warhammer alone is projected to grow to $3B by 2030. By capturing the market in this untapped niche, Miniswap is strongly positioned to expand its wedge into adjacent categories, bringing greater transparency, simplicity, and connectivity into additional tabletop games and collectibles verticals.

Miniswap's founding team merges deep domain knowledge with elite programming expertise and years of experience in business consulting and startups. Co-founders Zak and Will met while studying together at Cambridge, bonded over their love of Warhammer, and have been best friends ever since. ",none,The Marketplace for Tabletop Games,none,Marketplace,none,,,Miniswap Technologies Inc.,Miniswap Technologies Inc.,none,,,,,,,,,,,,,,,,,,
30935,s2.dev,s2-dev,https://bookface-images.s3.amazonaws.com/small_logos/84b9b038b2893008e1ac88f7bd32d1227a105449.png,https://s2.dev,"San Francisco, CA, USA","S2 is a serverless datastore for real-time, streaming data.

The more we worked on data systems, the more we felt like there was a missing building block. The seamless experience of object storage simply did not exist for durable streams – so we set out to fix that!

S2 reimagines streams as an unlimited and access-controlled web resource. Like if Kafka and S3 had a baby.

- Building agents? Use granular streams to persist context in real time, make workflows auditable, and coordinate between agents.

- Publishing fast-moving data? Streams support high fanout and can be accessed directly over the internet, so they are a great fit for broadcasting real-time feeds.

- Sandboxing? Emit to per-instance streams, and read history or live events just as easily.

- Local-first and multiplayer experiences? Propagate updates reliably and efficiently.

Stop dealing with clusters, and start streaming.",Streams as a cloud storage primitive,4,B2B,B2B -> Infrastructure,1759174945,Developer Tools,API,false,false,false,Fall 2025,Active,B2B,Infrastructure,United States of America,America / Canada,Early,false,false,,false,30935,s2.dev,none,https://s2.dev,none,"San Francisco, CA, USA",none,"S2 is a serverless datastore for real-time, streaming data.

The more we worked on data systems, the more we felt like there was a missing building block. The seamless experience of object storage simply did not exist for durable streams – so we set out to fix that!

S2 reimagines streams as an unlimited and access-controlled web resource. Like if Kafka and S3 had a baby.

- Building agents? Use granular streams to persist context in real time, make workflows auditable, and coordinate between agents.

- Publishing fast-moving data? Streams support high fanout and can be accessed directly over the internet, so they are a great fit for broadcasting real-time feeds.

- Sandboxing? Emit to per-instance streams, and read history or live events just as easily.

- Local-first and multiplayer experiences? Propagate updates reliably and efficiently.

Stop dealing with clusters, and start streaming.",none,Streams as a cloud storage primitive,none,Developer Tools,none,API,none,,,,Infrastructure,Databases,Remote,Partly Remote,Infrastructure,none,Databases,none,,,,,,,,,,
30934,Tornyol,tornyol,https://bookface-images.s3.amazonaws.com/small_logos/32e3f0b4a6932eaa071b0b63031b269de4048c47.png,https://tornyol.com/,,"Tornyol builds micro-drones that kill mosquitoes. We use smartphone microphones, car park assist sensors and some clever DSP and control to transform 40-gram toy drones into mosquito killers. Because these drones are so cheap and fast, we will lower the cost of mosquito control by 100x which will enable the eradication of mosquitoes from cities, saving more than a million people each year from Malaria, West Nile, Dengue, etc. ",We build micro-drones that kill mosquitoes. ,2,Consumer,Consumer -> Consumer Electronics,1761986194,Hardware,Robotics,false,false,false,Fall 2025,Active,Consumer,Consumer Electronics,Unspecified,,Early,false,false,,false,30934,Tornyol,none,https://tornyol.com/,none,,none,"Tornyol builds micro-drones that kill mosquitoes. We use smartphone microphones, car park assist sensors and some clever DSP and control to transform 40-gram toy drones into mosquito killers. Because these drones are so cheap and fast, we will lower the cost of mosquito control by 100x which will enable the eradication of mosquitoes from cities, saving more than a million people each year from Malaria, West Nile, Dengue, etc. ",none,We build micro-drones that kill mosquitoes. ,none,Hardware,none,Robotics,none,,,,Drones,,,,Drones,none,,,,,,,,,,,,
30933,Nucleo,nucleo,https://bookface-images.s3.amazonaws.com/small_logos/8611e8ee90a2a7924397ab6bcf911ddc8e25d601.png,https://nucleoresearch.com/,"San Francisco, CA, USA","We help oncologists and radiologists extract insights from CT scans to support tumor characterization and treatment.

The hospitals we work with include Stanford Hospital, Cedars-Sinai (the largest hospital in California), UCI Health, and Weill Cornell.",Automated CT scan analysis for oncology care.,2,Healthcare,Healthcare,1761179954,Machine Learning,Computer Vision,false,false,false,Fall 2025,Active,Healthcare,,United States of America,America / Canada,Early,false,false,,false,30933,Nucleo,none,https://nucleoresearch.com/,none,"San Francisco, CA, USA",none,"We help oncologists and radiologists extract insights from CT scans to support tumor characterization and treatment.

The hospitals we work with include Stanford Hospital, Cedars-Sinai (the largest hospital in California), UCI Health, and Weill Cornell.",none,Automated CT scan analysis for oncology care.,none,Machine Learning,none,Computer Vision,none,,,,Health Tech,,,,Health Tech,none,,,,,,,,,,,,
30925,Play Health,play-health,https://bookface-images.s3.amazonaws.com/small_logos/29eb0f5753137c426de6bf374fee2c8296e363cb.png,http://playhealth.com,"Boulder, CO, USA","Play Health is a perimenopause health platform redefining midlife care for women. 

Despite affecting over 30 million women in the U.S. alone, perimenopause remains one of the most overlooked stages in women’s health. The science is complex, the data is sparse, and most existing solutions are either too generic or too narrow to deliver meaningful insights. Women are left navigating life-altering symptoms with little guidance and few tools built specifically for them. Play Health changes that. We combine personalized tracking, at-home hormone testing, and AI-driven analytics to deliver actionable, data-first insights, and build the most advanced longitudinal dataset in perimenopause to date. This unlocks improved health today and enables the discovery of new diagnostics, therapeutics, and standards of care for tomorrow.

Play Health is led by successful, second-time, YC founders Andrea Mazzocchi and Ian Miller, with an exit and a unicorn between them.",Perimenopause health platform redefining women's midlife care,3,Healthcare,Healthcare -> Consumer Health and Wellness,1760457684,Biometrics,Biotech,false,false,false,Fall 2025,Active,Healthcare,Consumer Health and Wellness,United States of America,America / Canada,Early,false,false,,false,30925,Play Health,none,http://playhealth.com,none,"Boulder, CO, USA",none,"Play Health is a perimenopause health platform redefining midlife care for women. 

Despite affecting over 30 million women in the U.S. alone, perimenopause remains one of the most overlooked stages in women’s health. The science is complex, the data is sparse, and most existing solutions are either too generic or too narrow to deliver meaningful insights. Women are left navigating life-altering symptoms with little guidance and few tools built specifically for them. Play Health changes that. We combine personalized tracking, at-home hormone testing, and AI-driven analytics to deliver actionable, data-first insights, and build the most advanced longitudinal dataset in perimenopause to date. This unlocks improved health today and enables the discovery of new diagnostics, therapeutics, and standards of care for tomorrow.

Play Health is led by successful, second-time, YC founders Andrea Mazzocchi and Ian Miller, with an exit and a unicorn between them.",none,Perimenopause health platform redefining women's midlife care,none,Biometrics,none,Biotech,none,,,,Digital Health,Health & Wellness,Remote,Partly Remote,Digital Health,none,Health & Wellness,none,Women's Health,Women's Health,none,,,,,,,
30883,hillclimb,hillclimb,https://bookface-images.s3.amazonaws.com/small_logos/660320374818f816f5cf14de03fe92dcab2740eb.png,https://hillclimb.ing,"San Francisco, CA, USA",We work with the world's most brilliant mathematicians to design RL environments that enable LLMs to achieve state-of-the-art model performance.,Math RL Environments for Post-training,2,B2B,"B2B -> Engineering, Product and Design",1759385382,Reinforcement Learning,,false,false,false,Fall 2025,Active,B2B,"Engineering, Product and Design",United States of America,America / Canada,Early,false,false,,false,30883,hillclimb,none,https://hillclimb.ing,none,"San Francisco, CA, USA",none,We work with the world's most brilliant mathematicians to design RL environments that enable LLMs to achieve state-of-the-art model performance.,none,Math RL Environments for Post-training,none,Reinforcement Learning,none,,,Plun,Plun,none,,,,,,,,,,,,Hillclimb,Hillclimb,none,,,,
30881,Wardstone,wardstone,https://bookface-images.s3.amazonaws.com/small_logos/12a498451818daa71ba01c88400ac7f241e33a03.png,https://www.wardstone.space,"San Francisco, CA, USA","Wardstone is a space defense-tech company developing next-generation capabilities to protect the United States and its allies from missiles and other space-based threats. We design, build, and deploy satellites equipped with space-based interceptors to kinetically counter hypersonic and ballistic missiles.",Satellites for Missile Defense,2,Industrials,Industrials -> Aviation and Space,1758642388,Space Exploration,Satellites,false,false,false,Fall 2025,Active,Industrials,Aviation and Space,United States of America,America / Canada,Early,false,false,,false,30881,Wardstone,none,https://www.wardstone.space,none,"San Francisco, CA, USA",none,"Wardstone is a space defense-tech company developing next-generation capabilities to protect the United States and its allies from missiles and other space-based threats. We design, build, and deploy satellites equipped with space-based interceptors to kinetically counter hypersonic and ballistic missiles.",none,Satellites for Missile Defense,none,Space Exploration,none,Satellites,none,,,,Rocketry,Aerospace,,,Rocketry,none,Aerospace,none,,,,,,,,,,
30869,Kaigo Health,kaigo-health,https://bookface-images.s3.amazonaws.com/small_logos/586118645a981d290c46b4ac2dedd14dfdb9c962.png,https://www.kaigohealth.ai/,"San Francisco, CA, USA","Kaigo Health provides an AI-powered outpatient care management platform that automates and scales remote care management for Medicare patients including post-discharge followups, ongoing check-ins, and monitoring. Using phone calls as an age-friendly interface, we aggregate patient responses, voice biomarkers, and remote patient monitoring data for powerful preventative and proactive healthcare. ",AI-powered outpatient care management platform,3,Healthcare,Healthcare -> Healthcare IT,1761873494,Health Tech,Digital Health,false,false,false,Fall 2025,Active,Healthcare,Healthcare IT,United States of America,America / Canada,Early,true,false,,true,30869,Kaigo Health,none,https://www.kaigohealth.ai/,none,"San Francisco, CA, USA",none,"Kaigo Health provides an AI-powered outpatient care management platform that automates and scales remote care management for Medicare patients including post-discharge followups, ongoing check-ins, and monitoring. Using phone calls as an age-friendly interface, we aggregate patient responses, voice biomarkers, and remote patient monitoring data for powerful preventative and proactive healthcare. ",none,AI-powered outpatient care management platform,none,Health Tech,none,Digital Health,none,,,,Healthcare IT,,,,Healthcare IT,none,,,,,,,,,,,,
30851,Sylvian,sylvian,https://bookface-images.s3.amazonaws.com/small_logos/9ce6100b0248b0cf8f017986931a26cfe36046f3.png,https://sylvian.ai,"San Francisco, CA, USA","Sylvian creates tool use environments and gathers expert tool use data (e.g. computer use, VSCode, Excel) for LLMs. We gather 1B tokens/week from experts ranging from IMO Golds to MIT/Stanford PhDs to full time quant researchers at Point72.",Expert tool use data for LLMs,2,B2B,B2B,1762195938,Reinforcement Learning,B2B,false,false,false,Fall 2025,Active,B2B,,United States of America,America / Canada,Early,false,false,,false,30851,Sylvian,none,https://sylvian.ai,none,"San Francisco, CA, USA",none,"Sylvian creates tool use environments and gathers expert tool use data (e.g. computer use, VSCode, Excel) for LLMs. We gather 1B tokens/week from experts ranging from IMO Golds to MIT/Stanford PhDs to full time quant researchers at Point72.",none,Expert tool use data for LLMs,none,Reinforcement Learning,none,B2B,none,,,,,,,,,,,,,,,,,,,,,
